commodity_name,state,district,market,min_price,max_price,modal_price,date
Groundnut,Tamil Nadu,Villupuram,Gingee,74.24,87.16,80.7,10/3/2019
Groundnut,Tamil Nadu,Villupuram,Sangarapuram,55.48,55.48,55.48,10/3/2019
Groundnut,Tamil Nadu,Villupuram,Ulundurpettai,79.61,103.36,91.48,10/3/2019
Groundnut,Tamil Nadu,Villupuram,Gingee,57.49,66.16,61.83,12/31/2019
Groundnut,Tamil Nadu,Villupuram,Gingee,56.38,70.23,66.25,11/14/2019
Groundnut,Tamil Nadu,Villupuram,Villupuram,63.63,68.75,66.62,11/14/2019
Groundnut,Tamil Nadu,Villupuram,Avalurpet,50.12,72.11,70.54,11/26/2019
Groundnut,Tamil Nadu,Thiruvannamalai,Cheyyar,53.86,66.53,64.21,11/26/2019
Groundnut,Tamil Nadu,Villupuram,Vikkiravandi,50.73,58.73,53.53,11/26/2019
Groundnut,Tamil Nadu,Villupuram,Vikkiravandi,42.48,56.23,49.08,11/14/2019
Groundnut,Tamil Nadu,Villupuram,Avalurpet,50.15,65.36,63.15,12/10/2019
Groundnut,Tamil Nadu,Thiruvannamalai,Cheyyar,70.18,76.21,74.18,10/31/2019
Groundnut,Tamil Nadu,Villupuram,Vikkiravandi,35.5,57.6,50.25,10/31/2019
Groundnut,Tamil Nadu,Villupuram,Avalurpet,79.01,86.92,83.13,10/24/2019
Groundnut,Tamil Nadu,Villupuram,Avalurpet,58.98,84.76,70.73,10/22/2019
Groundnut,Tamil Nadu,Cuddalore,Cuddalore,95.86,95.86,95.86,10/22/2019
Groundnut,Tamil Nadu,Cuddalore,Kurinchipadi,71.25,71.25,71.25,10/29/2019
Groundnut,Tamil Nadu,Thiruvannamalai,Cheyyar,58.65,63.71,61.22,11/9/2019
Groundnut,Tamil Nadu,Coimbatore,Sevur,56,60,57.5,11/9/2019
Groundnut,Tamil Nadu,Villupuram,Tindivanam,76.07,94.98,91.61,10/18/2019
Groundnut,Tamil Nadu,Thiruvannamalai,Cheyyar,71.09,83.38,81.18,10/14/2019
Groundnut,Tamil Nadu,Villupuram,Gingee,75.86,89.34,82.5,10/14/2019
Groundnut,Tamil Nadu,Villupuram,Gingee,57.55,73.13,68.75,11/20/2019
Groundnut,Tamil Nadu,Villupuram,Kallakurichi,58.88,74.91,66.9,11/20/2019
Groundnut,Tamil Nadu,Coimbatore,Sevur,55.5,59.5,56,11/20/2019
Groundnut,Tamil Nadu,Coimbatore,Thiruppur,55,70,65,11/20/2019
Groundnut,Tamil Nadu,Villupuram,Gingee,61.49,85.11,73.3,10/24/2019
Groundnut,Tamil Nadu,Villupuram,Sangarapuram,72.48,72.48,72.48,10/24/2019
Groundnut,Tamil Nadu,Villupuram,Ulundurpettai,55.23,95.25,75.24,10/24/2019
Groundnut,Tamil Nadu,Villupuram,Vikkiravandi,51.98,60.35,54.23,10/24/2019
